model,method,feature,score,score_std
logreg_balanced,permutation,post_avg_knee_angle,0.008166666666666678,0.016333333333333356
logreg_balanced,permutation,post_knee_angle_std,0.0,0.0
logreg_balanced,permutation,post_avg_elbow_angle,0.0030447096562943184,0.006089419312588638
logreg_balanced,permutation,post_elbow_angle_std,0.015395913945532127,0.014481357139850971
logreg_balanced,permutation,post_avg_body_lean,0.03263149331986511,0.022003375965046708
logreg_balanced,permutation,post_body_lean_std,0.23975914462818562,0.08797912457852143
logreg_balanced,permutation,post_hip_width_ratio,0.0005632183908045984,0.0011264367816091968
logreg_balanced,permutation,post_avg_reach_ratio,0.003883536312902276,0.005410215702581775
logreg_balanced,permutation,post_max_reach_ratio,0.026751898165691262,0.04979778451263924
logreg_balanced,permutation,freq_limb_sync_ratio,-0.00846975371694472,0.01693950743388944
logreg_balanced,permutation,freq_hand_movement_amplitude,-0.00434980895093254,0.00869961790186508
logreg_balanced,permutation,freq_foot_movement_amplitude,0.007326505371449183,0.04089223213911443
logreg_balanced,permutation,freq_foot_frequency_hz,0.005350574712643686,0.010701149425287371
logreg_balanced,permutation,freq_hand_frequency_hz,0.0,0.0
logreg_balanced,permutation,freq_movement_regularity,0.0,0.0
rf_balanced,native,post_avg_knee_angle,0.009838080364915926,0.0
rf_balanced,native,post_knee_angle_std,0.005989769006565328,0.0
rf_balanced,native,post_avg_elbow_angle,0.008830161610185131,0.0
rf_balanced,native,post_elbow_angle_std,0.013178868634837708,0.0
rf_balanced,native,post_avg_body_lean,0.24202463364182758,0.0
rf_balanced,native,post_body_lean_std,0.3150097092677149,0.0
rf_balanced,native,post_hip_width_ratio,0.00908779534463933,0.0
rf_balanced,native,post_avg_reach_ratio,0.030728859074650144,0.0
rf_balanced,native,post_max_reach_ratio,0.10014941047849375,0.0
rf_balanced,native,freq_limb_sync_ratio,0.04524029323944184,0.0
rf_balanced,native,freq_hand_movement_amplitude,0.05223992876327233,0.0
rf_balanced,native,freq_foot_movement_amplitude,0.12936698227062363,0.0
rf_balanced,native,freq_foot_frequency_hz,0.015719163466129244,0.0
rf_balanced,native,freq_hand_frequency_hz,0.008279493525429128,0.0
rf_balanced,native,freq_movement_regularity,0.014316851311274232,0.0
rf_balanced,permutation,post_avg_knee_angle,-0.0006707543664065407,0.0013415087328130814
rf_balanced,permutation,post_knee_angle_std,0.0,0.0
rf_balanced,permutation,post_avg_elbow_angle,0.0,0.0
rf_balanced,permutation,post_elbow_angle_std,0.0,0.0
rf_balanced,permutation,post_avg_body_lean,0.11355405800703955,0.08157273898220727
rf_balanced,permutation,post_body_lean_std,0.3672262416925077,0.12491153335892186
rf_balanced,permutation,post_hip_width_ratio,0.0,0.0
rf_balanced,permutation,post_avg_reach_ratio,-0.0020122630992196223,0.004024526198439245
rf_balanced,permutation,post_max_reach_ratio,-0.0005258616250311418,0.0034710371612176123
rf_balanced,permutation,freq_limb_sync_ratio,0.0,0.0
rf_balanced,permutation,freq_hand_movement_amplitude,0.0,0.0
rf_balanced,permutation,freq_foot_movement_amplitude,0.01508002566853442,0.02258175598527666
rf_balanced,permutation,freq_foot_frequency_hz,0.0,0.0
rf_balanced,permutation,freq_hand_frequency_hz,0.0,0.0
rf_balanced,permutation,freq_movement_regularity,0.0,0.0
xgb_scale_pos_weight,native,post_avg_knee_angle,0.0,0.0
xgb_scale_pos_weight,native,post_knee_angle_std,0.0034026470966637135,0.0
xgb_scale_pos_weight,native,post_avg_elbow_angle,0.00408420292660594,0.0
xgb_scale_pos_weight,native,post_elbow_angle_std,0.08500511199235916,0.0
