phase1_index,race_id,lane,label,status,pose_path,pose_schema
0,Speed_finals_Chamonix_2024_race001,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race001_pose.json,single_athlete
1,Speed_finals_Chamonix_2024_race001,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race001_pose.json,single_athlete
2,Speed_finals_Chamonix_2024_race002,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race002_pose.json,single_athlete
3,Speed_finals_Chamonix_2024_race002,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race002_pose.json,single_athlete
4,Speed_finals_Chamonix_2024_race003,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race003_pose.json,single_athlete
5,Speed_finals_Chamonix_2024_race003,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race003_pose.json,single_athlete
6,Speed_finals_Chamonix_2024_race004,left,advanced,single_lane_mismatch:right,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race004_pose.json,single_athlete
7,Speed_finals_Chamonix_2024_race004,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race004_pose.json,single_athlete
8,Speed_finals_Chamonix_2024_race005,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race005_pose.json,single_athlete
9,Speed_finals_Chamonix_2024_race005,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race005_pose.json,single_athlete
10,Speed_finals_Chamonix_2024_race006,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race006_pose.json,single_athlete
11,Speed_finals_Chamonix_2024_race006,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race006_pose.json,single_athlete
12,Speed_finals_Chamonix_2024_race007,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race007_pose.json,single_athlete
13,Speed_finals_Chamonix_2024_race007,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race007_pose.json,single_athlete
14,Speed_finals_Chamonix_2024_race008,left,beginner,single_lane_mismatch:right,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race008_pose.json,single_athlete
15,Speed_finals_Chamonix_2024_race008,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race008_pose.json,single_athlete
16,Speed_finals_Chamonix_2024_race009,left,advanced,single_lane_mismatch:right,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race009_pose.json,single_athlete
17,Speed_finals_Chamonix_2024_race009,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race009_pose.json,single_athlete
18,Speed_finals_Chamonix_2024_race010,left,advanced,missing_pose,,
19,Speed_finals_Chamonix_2024_race010,right,advanced,missing_pose,,
20,Speed_finals_Chamonix_2024_race011,left,beginner,single_lane_mismatch:right,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race011_pose.json,single_athlete
21,Speed_finals_Chamonix_2024_race011,right,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race011_pose.json,single_athlete
22,Speed_finals_Chamonix_2024_race012,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race012_pose.json,single_athlete
23,Speed_finals_Chamonix_2024_race012,right,advanced,single_lane_mismatch:left,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race012_pose.json,single_athlete
24,Speed_finals_Chamonix_2024_race013,left,beginner,missing_pose,,
25,Speed_finals_Chamonix_2024_race013,right,advanced,missing_pose,,
26,Speed_finals_Chamonix_2024_race014,left,advanced,ok,/config/workspace/Speed-Climbing-Performance-Analysis/data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race014_pose.json,single_athlete
