iteration,metric,reference_minus_cnn
0,accuracy,0.07476635514018692
0,balanced_accuracy,0.279126213592233
0,f1_macro,0.3531353135313531
0,f1_beginner,0.6666666666666667
0,precision_beginner,0.75
0,recall_beginner,0.5
0,roc_auc,0.162621359223301
0,pr_auc,0.8373917748917749
1,accuracy,0.07476635514018692
1,balanced_accuracy,0.41960784313725485
1,f1_macro,0.41960784313725485
1,f1_beginner,0.7999999999999999
1,precision_beginner,0.8
1,recall_beginner,0.8
1,roc_auc,0.48235294117647054
1,pr_auc,0.9144167255965009
2,accuracy,0.12149532710280375
2,balanced_accuracy,0.39714285714285713
2,f1_macro,0.4153478650343386
2,f1_beginner,0.7647058823529411
2,precision_beginner,0.8
2,recall_beginner,0.7142857142857143
2,roc_auc,0.22142857142857142
2,pr_auc,0.8389318095102735
3,accuracy,0.11214953271028039
3,balanced_accuracy,0.525
3,f1_macro,0.5297029702970297
3,f1_beginner,1.0
3,precision_beginner,1.0
3,recall_beginner,1.0
3,roc_auc,0.6528571428571428
3,pr_auc,0.941893692778311
4,accuracy,0.07476635514018692
4,balanced_accuracy,0.5240384615384616
4,f1_macro,0.5194174757281553
4,f1_beginner,1.0
4,precision_beginner,1.0
4,recall_beginner,1.0
4,roc_auc,0.5480769230769231
4,pr_auc,0.9653075275397797
5,accuracy,0.08411214953271029
5,balanced_accuracy,0.3294117647058823
5,f1_macro,0.36854190585533864
5,f1_beginner,0.6923076923076923
5,precision_beginner,0.75
5,recall_beginner,0.6
5,roc_auc,0.2784313725490196
5,pr_auc,0.8323442149445448
6,accuracy,0.08411214953271029
6,balanced_accuracy,0.43646864686468645
6,f1_macro,0.43125839677563815
6,f1_beginner,0.8181818181818182
6,precision_beginner,0.8
6,recall_beginner,0.8333333333333334
6,roc_auc,0.25907590759075905
6,pr_auc,0.8356601731601732
7,accuracy,0.14018691588785048
7,balanced_accuracy,0.5353535353535354
7,f1_macro,0.5376884422110553
7,f1_beginner,1.0
7,precision_beginner,1.0
7,recall_beginner,1.0
7,roc_auc,0.4709595959595959
7,pr_auc,0.895676643657932
8,accuracy,0.11214953271028039
8,balanced_accuracy,0.4186893203883495
8,f1_macro,0.45857142857142863
8,f1_beginner,0.8571428571428571
8,precision_beginner,0.9
8,recall_beginner,0.75
8,roc_auc,0.412621359223301
8,pr_auc,0.9232123451423604
9,accuracy,0.09345794392523366
9,balanced_accuracy,0.4414191419141914
9,f1_macro,0.4414191419141914
9,f1_beginner,0.8333333333333334
9,precision_beginner,0.8333333333333334
9,recall_beginner,0.8333333333333334
9,roc_auc,0.2904290429042904
9,pr_auc,0.8621607437396911
10,accuracy,0.04672897196261683
10,balanced_accuracy,0.5096153846153846
10,f1_macro,0.5119617224880383
10,f1_beginner,1.0
10,precision_beginner,1.0
10,recall_beginner,1.0
10,roc_auc,0.6698717948717949
10,pr_auc,0.9717996600349541
11,accuracy,0.10280373831775702
11,balanced_accuracy,0.44636963696369636
11,f1_macro,0.45044010715652516
11,f1_beginner,0.8461538461538461
11,precision_beginner,0.8571428571428572
11,recall_beginner,0.8333333333333334
11,roc_auc,0.35808580858085803
11,pr_auc,0.8876188394142157
12,accuracy,0.1869158878504673
12,balanced_accuracy,0.5693069306930694
12,f1_macro,0.5515463917525774
12,f1_beginner,1.0
12,precision_beginner,1.0
12,recall_beginner,1.0
12,roc_auc,0.5445544554455446
12,pr_auc,0.9407742761450951
13,accuracy,0.09345794392523366
13,balanced_accuracy,0.23921568627450984
