race_id,competition,extracted_frames,total_frames,success_rate,fps,frame_width,frame_height,start_frame,finish_frame,athlete_lane_inferred,athlete_mean_x,file_path
Speed_finals_Chamonix_2024_race001,chamonix_2024,98,98,100.0,30.0,1280,720,45,142,left,0.344,data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race001_pose.json
Speed_finals_Chamonix_2024_race002,chamonix_2024,222,223,99.55156950672645,30.0,1280,720,45,267,left,0.343,data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race002_pose.json
Speed_finals_Chamonix_2024_race003,chamonix_2024,199,199,100.0,30.0,1280,720,45,243,left,0.381,data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race003_pose.json
Speed_finals_Chamonix_2024_race004,chamonix_2024,202,203,99.50738916256158,30.0,1280,720,45,247,right,0.714,data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race004_pose.json
Speed_finals_Chamonix_2024_race005,chamonix_2024,191,192,99.47916666666666,30.0,1280,720,45,236,left,0.336,data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race005_pose.json
Speed_finals_Chamonix_2024_race006,chamonix_2024,223,223,100.0,30.0,1280,720,45,267,left,0.338,data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race006_pose.json
Speed_finals_Chamonix_2024_race007,chamonix_2024,181,185,97.83783783783784,30.0,1280,720,45,229,left,0.393,data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race007_pose.json
Speed_finals_Chamonix_2024_race008,chamonix_2024,179,180,99.44444444444444,30.0,1280,720,45,224,right,0.768,data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race008_pose.json
Speed_finals_Chamonix_2024_race009,chamonix_2024,185,185,100.0,30.0,1280,720,45,229,right,0.761,data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race009_pose.json
Speed_finals_Chamonix_2024_race011,chamonix_2024,147,150,98.0,30.0,1280,720,45,194,right,0.757,data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race011_pose.json
Speed_finals_Chamonix_2024_race012,chamonix_2024,157,157,100.0,30.0,1280,720,45,201,left,0.307,data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race012_pose.json
Speed_finals_Chamonix_2024_race014,chamonix_2024,170,170,100.0,30.0,1280,720,45,214,left,0.34,data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race014_pose.json
